provincia_id,provincia_nombre,genero,anio_cambio,cantidad
46,La Rioja,F,2015,10
46,La Rioja,F,2016,13
46,La Rioja,F,2017,4
46,La Rioja,M,2017,1
46,La Rioja,F,2018,5
46,La Rioja,M,2018,2
46,La Rioja,F,2019,12
46,La Rioja,M,2019,1
46,La Rioja,F,2020,6
46,La Rioja,M,2020,3
46,La Rioja,F,2021,21
46,La Rioja,M,2021,15
46,La Rioja,F,2022,21
46,La Rioja,M,2022,6
46,La Rioja,X,2022,3
46,La Rioja,F,2023,10
46,La Rioja,M,2023,8
46,La Rioja,X,2023,5
50,Mendoza,F,2011,3
50,Mendoza,M,2011,1
50,Mendoza,F,2012,47
50,Mendoza,M,2012,8
50,Mendoza,F,2013,45
50,Mendoza,M,2013,4
50,Mendoza,F,2014,23
50,Mendoza,M,2014,9
50,Mendoza,F,2015,24
50,Mendoza,M,2015,7
50,Mendoza,F,2016,15
50,Mendoza,M,2016,9
50,Mendoza,F,2017,19
50,Mendoza,M,2017,6
50,Mendoza,F,2018,14
50,Mendoza,M,2018,11
50,Mendoza,F,2019,21
50,Mendoza,M,2019,25
50,Mendoza,F,2020,11
50,Mendoza,M,2020,18
50,Mendoza,F,2021,26
50,Mendoza,M,2021,41
50,Mendoza,X,2021,8
50,Mendoza,F,2022,42
50,Mendoza,M,2022,33
50,Mendoza,X,2022,30
50,Mendoza,F,2023,29
50,Mendoza,M,2023,67
50,Mendoza,X,2023,16
50,Mendoza,F,2024,1
50,Mendoza,M,2024,1
50,Mendoza,X,2024,7
54,Misiones,F,2012,9
54,Misiones,M,2012,1
54,Misiones,F,2013,12
54,Misiones,M,2013,1
54,Misiones,F,2014,1
54,Misiones,M,2014,2
54,Misiones,F,2015,6
54,Misiones,M,2015,5
54,Misiones,F,2016,6
54,Misiones,F,2017,3
54,Misiones,M,2017,5
54,Misiones,F,2018,6
54,Misiones,M,2018,6
54,Misiones,F,2019,7
54,Misiones,M,2019,11
54,Misiones,F,2020,7
54,Misiones,M,2020,9
54,Misiones,F,2021,9
54,Misiones,M,2021,14
54,Misiones,X,2021,5
54,Misiones,F,2022,18
54,Misiones,M,2022,24
54,Misiones,X,2022,6
54,Misiones,F,2023,24
54,Misiones,M,2023,17
54,Misiones,X,2023,8
54,Misiones,M,2024,1
54,Misiones,X,2024,2
58,Neuquén,F,2012,44
58,Neuquén,M,2012,2
58,Neuquén,F,2013,14
58,Neuquén,M,2013,1
58,Neuquén,F,2014,3
58,Neuquén,M,2014,2
58,Neuquén,F,2015,5
58,Neuquén,M,2015,4
58,Neuquén,F,2016,8
58,Neuquén,M,2016,8
58,Neuquén,F,2017,2
58,Neuquén,M,2017,3
58,Neuquén,F,2018,7
58,Neuquén,M,2018,14
58,Neuquén,F,2019,8
58,Neuquén,M,2019,27
58,Neuquén,F,2020,5
58,Neuquén,M,2020,12
58,Neuquén,F,2021,13
58,Neuquén,M,2021,23
58,Neuquén,X,2021,12
58,Neuquén,F,2022,13
58,Neuquén,M,2022,36
58,Neuquén,X,2022,18
58,Neuquén,F,2023,18
58,Neuquén,M,2023,53
58,Neuquén,X,2023,28
58,Neuquén,M,2024,1
58,Neuquén,X,2024,6
NA,Otro Pais,F,2012,1
NA,Otro Pais,F,2013,21
NA,Otro Pais,F,2014,25
NA,Otro Pais,M,2014,2
NA,Otro Pais,F,2015,19
NA,Otro Pais,M,2015,2
NA,Otro Pais,F,2016,18
NA,Otro Pais,M,2016,2
NA,Otro Pais,F,2017,10
NA,Otro Pais,M,2017,2
NA,Otro Pais,F,2018,5
NA,Otro Pais,M,2018,3
NA,Otro Pais,F,2019,11
NA,Otro Pais,M,2019,4
NA,Otro Pais,F,2020,2
NA,Otro Pais,M,2020,1
NA,Otro Pais,F,2021,3
NA,Otro Pais,M,2021,2
NA,Otro Pais,X,2021,1
NA,Otro Pais,F,2022,6
NA,Otro Pais,M,2022,4
NA,Otro Pais,X,2022,2
NA,Otro Pais,F,2023,16
NA,Otro Pais,M,2023,15
NA,Otro Pais,X,2023,3
NA,Otro Pais,F,2024,1
NA,Otro Pais,M,2024,2
62,Río Negro,F,2012,18
62,Río Negro,M,2012,1
62,Río Negro,F,2013,12
62,Río Negro,M,2013,1
62,Río Negro,F,2014,3
62,Río Negro,M,2014,4
62,Río Negro,F,2015,8
62,Río Negro,M,2015,3
